"","x"
"1",1.89024460329325
"2",6.62672612924161
"3",4.56927585210252
"4",5.08763357150915
"5",4.74199898239269
"6",3.87123361517877
"7",3.64149813758413
"8",4.492168288783
"9",1.02653267697694
"10",5.56957192263807
"11",0.518077947602915
"12",2.62240238366412
"13",5.98992842252857
"14",3.47952376043533
"15",1.24055843575166
"16",8.36380454621522
"17",7.04734314721363
"18",9.58264789974049
"19",1.70641435848465
"20",7.60471527798099
"21",3.25851183536633
"22",8.51108165959672
"23",2.49010849024243
"24",3.72417749456103
"25",6.84168841031332
"26",1.44425774405901
"27",2.37190739047975
"28",10.0436074679468
"29",9.66342190283456
"30",9.94341385961777
"31",5.74944217637764
"32",6.03373443748664
"33",12.0678919915574
"34",2.1396219811964
"35",6.70816375622942
"36",6.83978370180857
"37",4.05941101288566
"38",5.19662908834054
"39",6.30737383880616
"40",8.23121269070513
"41",4.25586457621879
"42",3.50525610337406
"43",5.22255589984049
"44",2.56680337102646
"45",2.56569100176759
"46",5.08506512337364
"47",4.89378811039987
"48",8.66982433427514
"49",7.52193838402508
"50",3.66442602469243
"51",8.91365110926243
"52",3.8594809814758
"53",5.13718761809301
"54",9.19155668640206
"55",0.971466492249222
"56",5.68141338006393
"57",2.66766205057983
"58",3.38319434460531
"59",9.9531572637017
"60",9.44739193614213
"61",3.06830140073504
"62",10.8920802119611
"63",0.725858095525649
"64",1.49479411225365
"65",5.55171361463244
"66",0.321489960328948
"67",8.77945972094803
"68",4.69720112268098
"69",2.74036359386484
"70",5.68280054753772
"71",7.23168161599523
"72",2.77278554133936
"73",5.34027114727495
"74",6.92266986020903
"75",11.2583281220721
"76",3.50045352202626
"77",6.57739711369866
"78",3.8914429484867
"79",3.85410563927101
"80",9.08310250290143
"81",4.52437666769542
"82",6.81262059860372
"83",3.5162909104394
"84",4.18917247247944
"85",9.4420691668346
"86",4.47419600886335
"87",7.63804065058353
"88",5.66461678293695
"89",4.37385454484108
"90",5.7953164083626
"91",5.28216670574424
"92",4.50905056151568
"93",2.88226546500585
"94",6.46897104689558
"95",0.332118414362241
"96",6.20817243663037
"97",4.84575820134467
"98",3.11867016426188
"99",3.50612538354452
"100",1.99017531613151
"101",13.5350956361912
"102",4.81293510836229
"103",4.10695001815863
"104",4.19708369808257
"105",5.20763174464494
"106",11.7796588968161
"107",6.14843201766615
"108",1.86604812780589
"109",4.96363163848737
"110",6.10953221261076
"111",6.40138384959565
"112",1.33357021609759
"113",5.97609065797243
"114",3.33901124150364
"115",3.63745659004294
"116",5.76547433734925
"117",7.07915528477503
"118",2.22341325693484
"119",2.31479482131545
"120",9.12996737964785
"121",3.59432130296402
"122",8.67688643898851
"123",8.22688876931098
"124",7.2059696431033
"125",4.9558971701934
"126",12.6336890736983
"127",7.46723202142232
"128",7.60065572462986
"129",5.87246847669084
"130",3.81685360607879
"131",9.1872657739538
"132",2.11242097927021
"133",2.7422062851815
"134",1.12587929004193
"135",3.94496506528095
"136",5.73242689600688
"137",9.08218250842035
"138",2.99964372221729
"139",5.04177501628933
"140",5.05400495557351
"141",7.52564584096463
"142",2.46890869433592
"143",7.96781263447316
"144",2.03029056086612
"145",2.68293234973018
"146",3.40056631205074
"147",9.64167178891288
"148",8.81418791229105
"149",6.33752795226371
"150",3.21985908578709
"151",11.5283984795762
"152",2.48663585135045
"153",6.61867799900747
"154",5.34790993504989
"155",7.06314724694893
"156",5.44879998360159
"157",5.36949703952452
"158",5.68860703981863
"159",5.88026701571667
"160",0.40458903471117
"161",4.61121862962273
"162",3.5391841484742
"163",2.89856061310925
"164",8.59782438031017
"165",9.00951892013035
"166",10.9176733818297
"167",4.15787515285559
"168",7.96607021056361
"169",7.46967116871384
"170",3.13283462299604
"171",1.9950035160481
"172",3.93311304898466
"173",2.96219220398739
"174",9.41648509480177
"175",9.00946890445826
"176",0.388186333592471
"177",3.68541778774967
"178",3.43270437083999
"179",7.45046734733411
"180",5.98499361880779
"181",2.53921713638336
"182",1.9854834494044
"183",5.25857878164357
"184",3.62595031288243
"185",6.11900094616817
"186",5.47580148690282
"187",8.67485995578152
"188",3.06926833440118
"189",4.2770879501411
"190",9.42328272030418
"191",9.82283110546189
"192",4.86354144841667
"193",3.51713349476323
"194",5.99859055345279
"195",1.70503014868535
"196",3.27255491861918
"197",4.12862600437251
"198",2.63731534349698
"199",6.96633038164187
"200",9.05143185785521
"201",3.89782883110966
"202",2.53450499868991
"203",6.9148990339787
"204",2.75505767155954
"205",3.94902665223254
"206",5.7193744234147
"207",7.42990526275753
"208",11.3572242097615
"209",2.43057978592109
"210",4.72776571438676
"211",4.23856426285536
"212",7.35668708255722
"213",8.05562779625205
"214",6.60399702124472
"215",2.0626601600831
"216",0.879221985364349
"217",10.9256310621942
"218",6.48971357627327
"219",8.26863042665067
"220",7.23834377620712
"221",6.43008343750343
"222",7.11369902484883
"223",9.81722782815521
"224",11.6511450639819
"225",5.68657669245623
"226",4.49355950504969
"227",5.7892179772632
"228",4.4728192175038
"229",5.82293849507745
"230",7.15126904927889
"231",3.15148272996955
"232",9.12827812808841
"233",6.79490318326242
"234",6.02262915463297
"235",7.44912485430436
"236",3.71984577813472
"237",2.94547858440555
"238",0.356715989298421
"239",5.72135236763097
"240",4.89822549484892
"241",6.1773959109631
"242",9.11713108536968
"243",2.41165637662827
"244",0.584367560340755
"245",8.09203667844239
"246",5.16102686286328
"247",1.76301924398132
"248",1.13465900690584
"249",2.31209067049512
"250",8.9465557396379
"251",7.65623373065083
"252",6.21206472783293
"253",3.29526768759925
"254",7.63493228953353
"255",6.55064255694215
"256",7.47276913984232
"257",8.17179050659699
"258",0.917891197895755
"259",1.79770684061834
"260",3.03474329738268
"261",8.25654257130321
"262",4.37274933026803
"263",5.48939687099773
"264",6.75195319371169
"265",3.42723929122772
"266",5.62731033127426
"267",7.47008849881928
"268",4.20350930120796
"269",4.15142913989052
"270",5.41562033811293
"271",9.3192913884098
"272",5.57460284670576
"273",5.65849727116842
"274",11.8754420259661
"275",2.4688333082321
"276",1.18072261813218
"277",3.57713551642106
"278",16.4879373972957
"279",7.61057248513761
"280",4.41191614348071
"281",1.15433855132312
"282",2.67974337530392
"283",10.7560484135643
"284",3.97934298217796
"285",4.30086504646522
"286",1.82907174075311
"287",4.16422727267426
"288",4.63223702599489
"289",4.06668054086589
"290",5.90607484235204
"291",4.19327791420516
"292",4.59893388579022
"293",5.51924345114578
"294",2.37440432927701
"295",3.22798509229695
"296",2.96453263533461
"297",7.21281577503583
"298",3.99572658475197
"299",4.5285789727528
"300",9.36078602026966
"301",3.07299699785732
"302",9.50850025628538
"303",6.56876533549378
"304",11.5165612962854
"305",1.39308438113953
"306",6.86114132175203
"307",4.17925891064138
"308",9.14441082518812
"309",9.25439429099502
"310",6.61732355363805
"311",6.60192615538966
"312",8.76974845568459
"313",5.28570389454109
"314",3.38677285098809
"315",0.858257001848997
"316",3.1166241720217
"317",3.05096866212033
"318",7.44101093073895
"319",7.01744479682709
"320",9.89626655515916
"321",11.1249025074083
"322",10.4962075363856
"323",2.99912539365232
"324",4.64048587735257
"325",2.49259925750773
"326",6.30016439773446
"327",4.18748881792972
"328",6.89299096778655
"329",1.34085190467539
"330",10.9515691013104
"331",9.11035726245905
"332",14.2769134982721
"333",7.14542001687957
"334",1.20364764889774
"335",2.8403892208385
"336",2.80650656764579
"337",2.93784048613066
"338",4.40983773797444
"339",6.99806337344632
"340",4.59383715375624
"341",3.65756982935836
"342",9.31795902937552
"343",4.1323551855481
"344",6.9599244957165
"345",13.3405320026404
"346",6.65990277527878
"347",8.42943822906978
"348",5.18881838530827
"349",1.92804174440157
"350",9.5663302755591
"351",1.98738694775303
"352",5.12698700720341
"353",7.5416140159885
"354",3.21884210238163
"355",6.09836505891738
"356",6.30126499935589
"357",5.06466393351132
"358",2.14055572202379
"359",7.50780201014538
"360",6.829930982758
"361",4.39637487496271
"362",5.08446495183958
"363",3.30234063992298
"364",5.56291353843515
"365",4.20123840830559
"366",7.84153812985056
"367",3.0251807589809
"368",6.55000357583456
"369",1.7855135586141
"370",4.41842825108811
"371",3.33800871145831
"372",12.5274894513178
"373",6.79571391897989
"374",17.6013934812506
"375",13.2243787905068
"376",2.89393847452874
"377",6.08685440654887
"378",10.3552889861837
"379",8.36489136892932
"380",4.86832068796788
"381",5.3288322239886
"382",0.90854258533623
"383",4.3479809603979
"384",3.06835575433731
"385",3.0849201496436
"386",9.46232834389388
"387",7.08688959324916
"388",9.85398453392374
"389",10.1627655076455
"390",7.72678357374269
"391",4.08964482024233
"392",2.54591260310507
"393",6.88001657859174
"394",3.82396028061292
"395",2.03911472143547
"396",6.71649816559779
"397",6.21549450677284
"398",8.32404337046979
"399",4.65028625851809
"400",1.00457027159247
"401",3.35149265865853
"402",8.30666427848
"403",3.13613854333353
"404",8.20401264739618
"405",9.30268266000562
"406",2.09441877940686
"407",1.82598857887961
"408",5.94048011259315
"409",3.04008545839733
"410",8.13043950518913
"411",3.25741677808132
"412",4.99257457993794
"413",2.61415765655106
"414",5.02613317947642
"415",2.93399262973913
"416",2.73015511509395
"417",5.59906417073802
"418",9.28253243998777
"419",3.42097692728765
"420",6.47686843857251
"421",3.25373980443935
"422",5.69190699327601
"423",4.19139313923911
"424",4.01011279346703
"425",12.4204053894411
"426",4.29409657598463
"427",5.88813483629931
"428",9.46088790089816
"429",2.8590824531922
"430",9.88710505003779
"431",12.3351924518202
"432",8.10077820418373
"433",1.94563696379421
"434",5.55441125783952
"435",3.89543955274944
"436",6.08908713010995
"437",5.07812123540985
"438",5.21444011349042
"439",5.45135460494918
"440",6.56755964848055
"441",4.46331695766379
"442",5.32873516399843
"443",4.95478106124432
"444",4.8199106257333
"445",7.80066097723812
"446",2.67338125117333
"447",12.8153089544325
"448",2.76660719148376
"449",7.34426901852259
"450",3.93606996916438
"451",4.98479863891578
"452",7.71299398820067
"453",2.3217491483981
"454",5.78997439523175
"455",5.47123913568976
"456",1.95767938275909
"457",1.70898874053112
"458",5.43909436578504
"459",3.66445838706986
"460",3.21013803502167
"461",9.70356899999163
"462",5.74223132367969
"463",7.52332238582596
"464",7.82074730652013
"465",5.40725309416705
"466",3.09942279048429
"467",3.69705697585158
"468",1.87366271687262
"469",7.62273129798019
"470",10.3509031887316
"471",6.88230641578399
"472",11.0446896100323
"473",5.6985186878981
"474",6.32852837179039
"475",2.85440106311146
"476",9.45968058407867
"477",2.18528868833528
"478",5.37357857104195
"479",2.94633835579932
"480",9.9990070810899
"481",3.47303306614871
"482",4.43047040341852
"483",4.29740284856969
